Serial No.,GRE Score,University Rating,TOEFL Score,SOP,LOR ,CGPA,Admit
70,328,4,115,4.5,4,9.16,1
71,332,5,118,5,5,9.64,1
72,336,5,112,5,5,9.76,1
73,321,5,111,5,5,9.45,1
74,314,4,108,4.5,4,9.04,1
75,314,3,106,3,5,8.9,0
76,329,2,114,2,4,8.56,1
77,327,3,112,3,3,8.72,1
78,301,2,99,3,2,8.22,0
79,296,2,95,3,2,7.54,1
80,294,1,93,1.5,2,7.36,0
81,312,3,105,2,3,8.02,1
82,340,4,120,5,5,9.5,1
83,320,5,110,5,4.5,9.22,1
84,322,5,115,4,4.5,9.36,1
85,340,5,115,4.5,4.5,9.45,1
86,319,4,103,4.5,3.5,8.66,0
87,315,3,106,4.5,3.5,8.42,0
88,317,2,107,3.5,3,8.28,0
89,314,3,108,4.5,3.5,8.14,0
90,316,4,109,4.5,3.5,8.76,1
91,318,2,106,4,4,7.92,1
92,299,3,97,5,3.5,7.66,0
93,298,2,98,4,3,8.03,0
94,301,2,97,3,3,7.88,1
95,303,3,99,2,2.5,7.66,0
96,304,4,100,1.5,2.5,7.84,0
97,306,2,100,3,3,8,0
98,331,3,120,4,4,8.96,1
99,332,4,119,5,4.5,9.24,1
100,323,3,113,4,4,8.88,1
101,322,3,107,3.5,3.5,8.46,1
102,312,2,105,2.5,3,8.12,0
103,314,2,106,4,3.5,8.25,0
104,317,2,104,4.5,4,8.47,0
105,326,3,112,3.5,3,9.05,1
106,316,3,110,4,4.5,8.78,1
107,329,4,111,4.5,4.5,9.18,1
108,338,4,117,3.5,4.5,9.46,1
109,331,5,116,5,5,9.38,1
110,304,5,103,5,4,8.64,0
111,305,5,108,3,3,8.48,0
112,321,4,109,4,4,8.68,1
113,301,3,107,3.5,3.5,8.34,1
114,320,2,110,4,3.5,8.56,0
115,311,3,105,3.5,3,8.45,1
116,310,4,106,4.5,4.5,9.04,1
117,299,3,102,4,3.5,8.62,0
118,290,4,104,2,2.5,7.46,0
119,296,2,99,3,3.5,7.28,0
120,327,5,104,3,3.5,8.84,1
121,335,5,117,5,5,9.56,1
122,334,5,119,4.5,4.5,9.48,1
123,310,4,106,1.5,2.5,8.36,0
124,308,3,108,3.5,3.5,8.22,0
125,301,4,106,2.5,3,8.47,0
126,300,3,100,2,3,8.66,1
127,323,3,113,4,3,9.32,1
128,319,3,112,2.5,2,8.71,1
129,326,3,112,3.5,3,9.1,1
130,333,5,118,5,5,9.35,1
131,339,5,114,4,4.5,9.76,1
132,303,5,105,5,4.5,8.65,0
133,309,5,105,3.5,3.5,8.56,0
134,323,5,112,4,4.5,8.78,0
135,333,5,113,4,4,9.28,1
136,314,4,109,3.5,4,8.77,1
137,312,3,103,5,4,8.45,0
138,316,2,100,1.5,3,8.16,1
139,326,2,116,4.5,3,9.08,1
140,318,1,109,3.5,3.5,9.12,0
141,329,2,110,4,3,9.15,1
142,332,2,118,4.5,3.5,9.36,1
143,331,5,115,4,3.5,9.44,1
144,340,4,120,4.5,4,9.92,1
145,325,2,112,3,3.5,8.96,1
146,320,2,113,2,2.5,8.64,1
147,315,3,105,2,2.5,8.48,0
148,326,3,114,3,3,9.11,1
149,339,4,116,4,3.5,9.8,1
150,311,2,106,3.5,3,8.26,1
151,334,4,114,4,4,9.43,1
152,332,5,116,5,5,9.28,1
153,321,5,112,5,5,9.06,1
154,324,3,105,3,4,8.75,0
155,326,3,108,3,3.5,8.89,0
156,312,3,109,3,3,8.69,0
157,315,3,105,2,2.5,8.34,0
158,309,2,104,2,2.5,8.26,0
159,306,2,106,2,2.5,8.14,0
160,297,1,100,1.5,2,7.9,0
161,315,1,103,1.5,2,7.86,0
162,298,1,99,1.5,3,7.46,0
163,318,3,109,3,3,8.5,0
164,317,3,105,3.5,3,8.56,0
165,329,4,111,4.5,4,9.01,1
166,322,5,110,4.5,4,8.97,0
167,302,3,102,3.5,5,8.33,0
168,313,3,102,2,3,8.27,0
169,293,2,97,2,4,7.8,1
170,311,2,99,2.5,3,7.98,0
171,312,2,101,2.5,3.5,8.04,1
172,334,5,117,4,4.5,9.07,1
173,322,4,110,4,5,9.13,1
174,323,4,113,4,4.5,9.23,1
175,321,4,111,4,4,8.97,1
176,320,4,111,4.5,3.5,8.87,1
177,329,4,119,4.5,4.5,9.16,1
178,319,3,110,3.5,3.5,9.04,0
179,309,3,108,2.5,3,8.12,0
180,307,3,102,3,3,8.27,0
181,300,3,104,3.5,3,8.16,0
182,305,2,107,2.5,2.5,8.42,0
183,299,2,100,3,3.5,7.88,0
184,314,3,110,4,4,8.8,0
185,316,2,106,2.5,4,8.32,0
186,327,4,113,4.5,4.5,9.11,1
187,317,3,107,3.5,3,8.68,1
188,335,5,118,4.5,3.5,9.44,1
189,331,5,115,4.5,3.5,9.36,1
190,324,5,112,5,5,9.08,1
191,324,5,111,4.5,4,9.16,1
192,323,5,110,4,5,8.98,1
193,322,5,114,4.5,4,8.94,1
194,336,5,118,4.5,5,9.53,1
195,316,3,109,3.5,3,8.76,0
196,307,2,107,3,3.5,8.52,1
197,306,2,105,3,2.5,8.26,0
198,310,2,106,3.5,2.5,8.33,0
199,311,3,104,4.5,4.5,8.43,0
200,313,3,107,4,4.5,8.69,0
201,317,3,103,2.5,3,8.54,1
202,315,2,110,3.5,3,8.46,1
203,340,5,120,4.5,4.5,9.91,1
204,334,5,120,4,5,9.87,1
205,298,3,105,3.5,4,8.54,0
206,295,2,99,2.5,3,7.65,0
207,315,2,99,3.5,3,7.89,0
208,310,3,102,3.5,4,8.02,1
209,305,2,106,3,3,8.16,0
210,301,3,104,3.5,4,8.12,1
211,325,4,108,4.5,4,9.06,1
212,328,4,110,5,4,9.14,1
213,338,4,120,5,5,9.66,1
214,333,5,119,5,4.5,9.78,1
215,331,4,117,4.5,5,9.42,1
216,330,5,116,5,4.5,9.36,1
217,322,4,112,4.5,4.5,9.26,1
218,321,4,109,4,4,9.13,1
219,324,4,110,3,3.5,8.97,1
220,312,3,104,3.5,3.5,8.42,0
221,313,3,103,4,4,8.75,0
222,316,3,110,3.5,4,8.56,0
223,324,4,113,4.5,4,8.79,0
224,308,2,109,3,4,8.45,0
225,305,2,105,3,2,8.23,0
226,296,2,99,2.5,2.5,8.03,0
227,306,2,110,3.5,4,8.45,0
228,312,2,110,3.5,3,8.53,0
229,318,3,112,4,3.5,8.67,0
230,324,4,111,3,3,9.01,1
231,313,3,104,4,4.5,8.65,0
232,319,3,106,3.5,2.5,8.33,1
233,312,2,107,2.5,3.5,8.27,0
234,304,2,100,2.5,3.5,8.07,0
235,330,5,113,5,4,9.31,1
236,326,5,111,4.5,4,9.23,1
237,325,4,112,4,4.5,9.17,1
238,329,5,114,4.5,5,9.19,1
239,310,3,104,2,3.5,8.37,0
240,299,1,100,1.5,2,7.89,0
241,296,1,101,2.5,3,7.68,0
242,317,2,103,2.5,2,8.15,0
243,324,3,115,3.5,3,8.76,1
244,325,3,114,3.5,3,9.04,1
245,314,2,107,2.5,4,8.56,0
246,328,4,110,4,2.5,9.02,1
247,316,3,105,3,3.5,8.73,0
248,311,2,104,2.5,3.5,8.48,0
249,324,3,110,3.5,4,8.87,1
250,321,3,111,3.5,4,8.83,1
251,320,3,104,3,2.5,8.57,1
252,316,2,99,2.5,3,9,0
253,318,2,100,2.5,3.5,8.54,1
254,335,4,115,4.5,4.5,9.68,1
255,321,4,114,4,5,9.12,0
256,307,4,110,4,4.5,8.37,0
257,309,3,99,4,4,8.56,0
258,324,3,100,4,5,8.64,1
259,326,4,102,5,5,8.76,1
260,331,4,119,5,4.5,9.34,1
261,327,5,108,5,3.5,9.13,1
262,312,3,104,3.5,4,8.09,0
263,308,2,103,2.5,4,8.36,1
264,324,3,111,2.5,1.5,8.79,1
265,325,2,110,3,2.5,8.76,1
266,313,3,102,2.5,2.5,8.68,0
267,312,2,105,2,2.5,8.45,0
268,314,3,107,3,3.5,8.17,1
269,327,4,113,4.5,5,9.14,0
270,308,4,108,4.5,5,8.34,0
271,306,2,105,2.5,3,8.22,1
272,299,2,96,1.5,2,7.86,0
273,294,1,95,1.5,1.5,7.64,0
274,312,1,99,1,1.5,8.01,1
275,315,1,100,2,2.5,7.95,0
276,322,3,110,3.5,3,8.96,1
277,329,5,113,5,4.5,9.45,1
278,320,2,101,2.5,3,8.62,0
279,308,2,103,3,3.5,8.49,0
280,304,2,102,3,4,8.73,0
281,311,3,102,4.5,4,8.64,1
282,317,3,110,4,4.5,9.11,1
283,312,3,106,4,3.5,8.79,1
284,321,3,111,2.5,3,8.9,1
285,340,4,112,5,4.5,9.66,1
286,331,5,116,4,4,9.26,1
287,336,5,118,4.5,4,9.19,1
288,324,5,114,5,4.5,9.08,1
289,314,4,104,5,5,9.02,0
290,313,3,109,4,3.5,9,0
291,307,2,105,2.5,3,7.65,0
292,300,2,102,1.5,2,7.87,0
293,302,2,99,1,2,7.97,0
294,312,1,98,3.5,3,8.18,1
295,316,2,101,2.5,2,8.32,1
296,317,2,100,3,2.5,8.57,0
297,310,3,107,3.5,3.5,8.67,0
298,320,3,120,4,4.5,9.11,0
299,330,3,114,4.5,4.5,9.24,1
300,305,3,112,3,3.5,8.65,0
301,309,2,106,2.5,2.5,8,0
302,319,2,108,2.5,3,8.76,0
303,322,2,105,3,3,8.45,1
304,323,3,107,3.5,3.5,8.55,1
305,313,2,106,2.5,2,8.43,0
306,321,3,109,3.5,3.5,8.8,1
307,323,3,110,4,3.5,9.1,1
308,325,4,112,4,4,9,1
309,312,3,108,3.5,3,8.53,0
310,308,4,110,3.5,3,8.6,0
311,320,3,104,3,3.5,8.74,1
312,328,4,108,4.5,4,9.18,1
313,311,4,107,4.5,4.5,9,1
314,301,3,100,3.5,3,8.04,0
315,305,2,105,3,4,8.13,0
316,308,2,104,2.5,3,8.07,0
317,298,2,101,1.5,2,7.86,0
318,300,1,99,1,2.5,8.01,0
319,324,3,111,2.5,2,8.8,1
320,327,4,113,3.5,3,8.69,1
321,317,3,106,4,3.5,8.5,1
322,323,3,104,4,4,8.44,1
323,314,2,107,2.5,4,8.27,0
324,305,2,102,2,2.5,8.18,0
325,315,3,104,3,2.5,8.33,0
326,326,3,116,3.5,4,9.14,1
327,299,3,100,2,2,8.02,0
328,295,2,101,2.5,2,7.86,0
329,324,4,112,4,3.5,8.77,1
330,297,2,96,2.5,1.5,7.89,0
331,327,3,113,3.5,3,8.66,1
332,311,2,105,3,2,8.12,1
333,308,3,106,3.5,2.5,8.21,1
334,319,3,108,3,3.5,8.54,1
335,312,4,107,4.5,4,8.65,1
336,325,4,111,4,4.5,9.11,1
337,319,3,110,3,2.5,8.79,0
338,332,5,118,5,5,9.47,1
339,323,5,108,4,4,8.74,1
340,324,5,107,3.5,4,8.66,1
341,312,3,107,3,3,8.46,1
342,326,3,110,3.5,3.5,8.76,1
343,308,3,106,3,3,8.24,0
344,305,2,103,2.5,3.5,8.13,0
345,295,2,96,1.5,2,7.34,0
346,316,1,98,1.5,2,7.43,0
347,304,2,97,1.5,2,7.64,0
348,299,1,94,1,1,7.34,0
349,302,1,99,2,2,7.25,0
350,313,3,101,2.5,3,8.04,0
351,318,3,107,3,3.5,8.27,1
352,325,4,110,3.5,4,8.67,1
353,303,2,100,3,3.5,8.06,1
354,300,3,102,3.5,2.5,8.17,0
355,297,2,98,2.5,3,7.67,0
356,317,2,106,2,3.5,8.12,0
357,327,3,109,3.5,4,8.77,1
358,301,2,104,3.5,3.5,7.89,1
359,314,2,105,2.5,2,7.64,0
360,321,2,107,2,1.5,8.44,0
361,322,3,110,4,5,8.64,1
362,334,4,116,4,3.5,9.54,1
363,338,5,115,4.5,5,9.23,1
364,306,2,103,2.5,3,8.36,0
365,313,3,102,3.5,4,8.9,1
366,330,4,114,4.5,3,9.17,1
367,320,3,104,3.5,4.5,8.34,1
368,311,1,98,1,2.5,7.46,0
369,298,1,92,2,2,7.88,0
370,301,1,98,2,3,8.03,1
371,310,2,103,2.5,2.5,8.24,0
372,324,3,110,3.5,3,9.22,1
373,336,4,119,4.5,4,9.62,1
374,321,3,109,3,3,8.54,1
375,315,2,105,2,2.5,7.65,0
376,304,2,101,2,2.5,7.66,0
377,297,2,96,2.5,2,7.43,0
378,290,1,100,1.5,2,7.56,0
379,303,1,98,2,2.5,7.65,0
380,311,1,99,2.5,3,8.43,1
381,322,3,104,3.5,4,8.84,1
382,319,3,105,3,3.5,8.67,1
383,324,4,110,4.5,4,9.15,1
384,300,3,100,3,3.5,8.26,0
385,340,4,113,5,5,9.74,1
386,335,5,117,5,5,9.82,1
387,302,2,101,2.5,3.5,7.96,0
388,307,2,105,2,3.5,8.1,0
389,296,2,97,1.5,2,7.8,0
390,320,3,108,3.5,4,8.44,1
391,314,2,102,2,2.5,8.24,0
392,318,3,106,2,3,8.65,0
393,326,4,112,4,3.5,9.12,1
394,317,2,104,3,3,8.76,0
395,329,4,111,4.5,4,9.23,1
396,324,3,110,3.5,3.5,9.04,1
397,325,3,107,3,3.5,9.11,1
398,330,4,116,5,4.5,9.45,1
399,312,3,103,3.5,4,8.78,0
400,333,4,117,5,4,9.66,1
401,304,2,100,3.5,3,8.22,0
402,315,2,105,3,3,8.34,0
403,324,3,109,3.5,3,8.94,1
404,330,4,116,4,3.5,9.23,1
405,311,3,101,2,2.5,7.64,1
406,302,3,99,2.5,3,7.45,0
407,322,4,103,3,2.5,8.02,1
408,298,3,100,2.5,4,7.95,1
409,297,3,101,2,4,7.67,1
410,300,1,98,2,2.5,8.02,0
411,301,1,96,3,4,7.56,0
412,313,2,94,2.5,1.5,8.13,0
413,314,4,102,2.5,2,7.88,1
414,317,3,101,3,2,7.94,1
415,321,4,110,3.5,4,8.35,1
416,327,4,106,4,4.5,8.75,1
417,315,3,104,4,2.5,8.1,0
418,316,3,103,3.5,2,7.68,0
419,309,2,111,2.5,4,8.03,0
420,308,2,102,2,3.5,7.98,1
421,299,3,100,2,3,7.42,0
422,321,3,112,3,4.5,8.95,1
423,322,4,112,3.5,2.5,9.02,1
424,334,5,119,4.5,5,9.54,1
425,325,5,114,4,5,9.46,1
426,323,5,111,4,5,9.86,1
427,312,3,106,3,5,8.57,0
428,310,3,101,3.5,5,8.65,1
429,316,2,103,2,4.5,8.74,0
430,340,5,115,5,4.5,9.06,1
431,311,3,104,4,3.5,8.13,1
432,320,2,112,3.5,3.5,8.78,1
433,324,4,112,4.5,4,9.22,1
434,316,4,111,4,5,8.54,0
435,306,3,103,3.5,3,8.21,0
436,309,2,105,2.5,4,7.68,0
437,310,1,110,1.5,4,7.23,1
438,317,1,106,1.5,3.5,7.65,1
439,318,1,110,2.5,3.5,8.54,1
440,312,2,105,1.5,3,8.46,0
441,305,2,104,2.5,1.5,7.79,0
442,332,1,112,1.5,3,8.66,1
443,331,4,116,4.5,4.5,9.44,1
444,321,5,114,4.5,4.5,9.16,1
445,324,5,113,4,5,9.25,1
446,328,5,116,4.5,5,9.08,1
447,327,4,118,5,5,9.67,1
448,320,3,108,3.5,5,8.97,1
449,312,2,109,2.5,4,9.02,0
450,315,3,101,3.5,4.5,9.13,0
451,320,4,112,3,4.5,8.86,1
452,324,4,113,4.5,4.5,9.25,1
453,328,4,116,5,3.5,9.6,1
454,319,3,103,2.5,4,8.76,1
455,310,2,105,3,3.5,8.01,0
456,305,2,102,1.5,2.5,7.64,0
457,299,2,100,2,2,7.88,0
458,295,1,99,2,1.5,7.57,0
459,312,1,100,3,3,8.53,1
460,329,4,113,4,3.5,9.36,1
461,319,4,105,4,4.5,8.66,1
462,301,3,102,2.5,2,8.13,1
463,307,4,105,3,3,7.94,0
464,304,3,107,3.5,3,7.86,0
465,298,2,97,2,3,7.21,0
466,305,4,96,3,4.5,8.26,0
467,314,4,99,3.5,4.5,8.73,1
468,318,5,101,3.5,5,8.78,1
469,323,4,110,4,5,8.88,1
470,326,4,114,4,3.5,9.16,1
471,320,5,110,4,4,9.27,1
472,311,3,103,2,4,8.09,0
473,327,4,116,4,4.5,9.48,1
474,316,2,102,4,3.5,8.15,0
475,308,4,105,3,2.5,7.95,1
476,300,3,101,3.5,2.5,7.88,0
477,304,3,104,2.5,2,8.12,0
478,309,4,105,3.5,2,8.18,0
479,318,3,103,4,4.5,8.49,1
480,325,4,110,4.5,4,8.96,1
481,321,3,102,3.5,4,9.01,1
482,323,4,107,3,2.5,8.48,1
483,328,4,113,4,2.5,8.77,1
484,304,5,103,5,3,7.92,0
485,317,3,106,3.5,3,7.89,1
486,311,2,101,2.5,3.5,8.34,1
487,319,3,102,2.5,2.5,8.37,0
488,327,4,115,3.5,4,9.14,0
489,322,3,112,3,4,8.62,1
490,302,3,110,4,4.5,8.5,0
491,307,2,105,2.5,4.5,8.12,1
492,297,4,99,3,3.5,7.81,0
493,298,4,101,2.5,4.5,7.69,1
494,300,2,95,3,1.5,8.22,1
495,301,3,99,2.5,2,8.45,1
496,332,5,108,4.5,4,9.02,1
497,337,5,117,5,5,9.87,1
498,330,5,120,4.5,5,9.56,1
499,312,4,103,4,5,8.43,0
500,327,4,113,4.5,4.5,9.04,0
