Serial No.,GREScore,TOEFLScore,University Rating,Admit
387,302,101,2,yes
388,307,105,2,yes
389,296,97,2,yes
390,320,108,3,yes
391,314,102,2,yes
392,318,106,3,yes
393,326,112,4,no
394,317,104,2,no
395,329,111,4,yes
396,324,110,3,no
397,325,107,3,no
398,330,116,4,yes
399,312,103,3,no
400,333,117,4,yes
